[16-04-2023 18:25:37.788] [INFO] Verifying language-reload-1.5.6+1.19.2.jar ...
[16-04-2023 18:25:37.789] [INFO] Verifying effective-1.4.jar ...
[16-04-2023 18:25:37.789] [INFO] Verifying satin-1.9.0.jar ...
[16-04-2023 18:25:37.789] [INFO] Verifying spark-1.10.34-fabric.jar ...
[16-04-2023 18:25:37.789] [INFO] Verifying ftb-teams-fabric-1902.2.13-build.100.jar ...
[16-04-2023 18:25:37.789] [INFO] Verifying ferritecore-5.0.3-fabric.jar ...
[16-04-2023 18:25:37.789] [INFO] Verifying YetAnotherConfigLib-2.2.0-for-1.19.2.jar ...
[16-04-2023 18:25:37.789] [INFO] Verifying jamlib-0.6.0+1.19.jar ...
[16-04-2023 18:25:37.789] [INFO] Verifying dashloader-4.1.3+1.19.jar ...
[16-04-2023 18:25:37.789] [INFO] Verification of Emojiful-Fabric-1.19.2-4.0.4.jar was successful!
[16-04-2023 18:25:37.789] [INFO] Verification of konkrete_fabric_1.6.0_MC_1.19.1-1.19.2.jar was successful!
[16-04-2023 18:25:37.789] [INFO] Verification of AttributeFix-Fabric-1.19.2-17.2.6.jar was successful!
[16-04-2023 18:25:37.789] [INFO] Verification of PigPen-Fabric-1.19.2-11.1.2.jar was successful!
[16-04-2023 18:25:37.789] [INFO] Verifying inmis-2.7.1-1.19.jar ...
[16-04-2023 18:25:37.790] [INFO] Verification of cullleaves-fabric-3.0.1.jar was successful!
[16-04-2023 18:25:37.790] [INFO] Verification of language-reload-1.5.6+1.19.2.jar was successful!
[16-04-2023 18:25:37.790] [INFO] Verification of ftb-library-fabric-1902.3.17-build.200.jar was successful!
[16-04-2023 18:25:37.790] [INFO] Verification of effective-1.4.jar was successful!
[16-04-2023 18:25:37.790] [INFO] Verification of satin-1.9.0.jar was successful!
[16-04-2023 18:25:37.790] [INFO] Verification of spark-1.10.34-fabric.jar was successful!
